Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day
20031007OHKEA,http://www.the-daily-record.com/news/20070723/kenmore-grad-remembers-every-detail-of-2003-school-shooting,,,2,2003-10-07,Fall,Kenmore High School,Akron,OH,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,,"Argument over car being broken into, third student shot at two arguing",Two students were arguing over a car being broken into in the parking lot. Shooter was friends with one of the students and opened fire severely injuring a 17YOM student.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<10,,2003,10,7
20031001CARIS,http://articles.latimes.com/2003/oct/02/local/me-shooting2,,,2,2003-10-01,Fall,Rio Cazadero High School,Sacramento,CA,High,Classroom; Beside Building,Both Inside/Outside,Yes,Morning Classes,9:00 AM,"Suicide by cop, depressed over breakup","18YOM brought duffel bag with shotgun, fake pistol, and baseball bat into classroom. Told the students and teacher to leave. Principal entered classroom and tried to talk him down. When police arrived, shooter walked outside to confront them. Principal tried to wrestle away shotgun when he pointed it at officers. Shooter was shot by police and principal was hit in leg by round (unclear if it was shooter or from police officer).",Suicide/Attempted,Victims Targeted,No,No,No,No,No,Yes,No,No,1,,2003,10,1
20030925NCBUL,https://www.semissourian.com/story/120674.html https://www.wsoctv.com/news/local/former-student-recalls-school-resource-officer-saving-lives-at-local-middle-school/705956061/,,,4,2003-09-25,Fall,Burns Middle School,Lawndale,NC,Middle,Hallway,Inside School Building,Yes,School Start,8:00 AM,"Pulled gun in hallway, fired into classrooms, tackled by SRO","13YOM called out girls name in hallway, pulled pistol, fired two shots in the air, and fire shots into random classrooms. School was locked down and the shooter tackled by a sheriff's deputy working in the school. The shooter fought the deputy for the gun but he was able to detain him. The shooter had been identified as a possible threat by school officials.",Indiscriminate Shooting,Victims Targeted,No,No,No,No,No,,No,,,Yes,2003,9,25
20030924MNROC,http://news.minnesota.publicradio.org/features/2005/07/18_postt_rocoriverdict/ https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,,,5,2003-09-24,Fall,Rocori High School,Cold Spring,MN,High,Gym,Inside School Building,Yes,Morning Classes,11:38 AM,"Targeted two bullies, other students in area were not shot at","Shooter had been bullied by victim. Shooter snuck gun past metal detectors and ambushed the victim when he came out of the locker room. Shooter fired multiple rounds, one missed and struck another student in the throat killing him. Victim ran from the shooter and the shooter chased him, eventually catching him and firing multiple shots to kill him. School officials found the shooter with an empty weapon and detained him until law enforcement arrived. Shooter had schizophrenia and described an imaginary friend who wore a black trench coat and told him to plan the shooting.",Bullying,Victims Targeted,No,No,No,No,Yes,No,No,No,3,Yes,2003,9,24
20030922WALES,http://www.spokesman.com/stories/2004/sep/04/father-says-police-too-aggressive-high-school-shoo/,,,2,2003-09-22,Fall,Lewis and Clark High School,Spokane,WA,High,Classroom,Inside School Building,Yes,Lunch,11:10 AM,"Took 3 students hostage in classroom for an hour, shot by police","17YOM walked into classroom during lunch and pulled gun. Told teacher to leave and fired shot at her. Blocked door and held 3 students hostage. Discharged fire extinguisher. Shot by police officers when he climbed on top of a bookcase. Father reported the shooter was hearing voices and on pain medication. Recently watched the movie ""Phone Booth"" about a hostage standoff.",Hostage/Standoff,,No,Yes,Yes,No,,No,No,No,1,Yes,2003,9,22
20030917MDOKE,https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States,,,1,2003-09-17,Fall,Oklahoma Road Middle School,Eldersburg,MD,Middle,Bathroom,Inside School Building,Yes,Morning Classes,10:00 AM,"Fired shot in bathroom, surrendered to teacher who investigated",13YOM fired a .44 revolver in the bathroom of the school. A teacher went to investigate the sound of the gun shot and found the shooter sitting on the floor. The shooter peacefully went with the teacher to the principal's office. Shooter was reported to have psychological problems and possible attempted suicide.,Suicide/Attempted,,No,No,No,No,No,No,No,No,1,,2003,9,17
20030917MACHB,http://archive.boston.com/news/local/articles/2003/09/18/teen_shot_near_charlestown_high/,,,2,2003-09-17,Fall,Charlestown High School,Boston,MA,K-12,Beside Building,Outside on School Property,No,Dismissal,2:00 PM,"Shot a specific victim during dismissal, missed hitting other student and police officer",14YOM fired at the crowd leaving the high school aiming for an intended target (possible rival gang members). Bullet struck a bystander student and a school police officer. Shooter fled the scene and was detained a few block away.,Escalation of Dispute,Both,No,No,No,No,No,No,Yes,No,<10,,2003,9,17
20030910MSVIV,https://www.vicksburgpost.com/2003/09/11/former-vhs-student-shot-dead/,,,2,2003-09-10,Fall,Vicksburg High School,Vicksburg,MS,High,Football Field/Track,Outside on School Property,Yes,Afternoon Classes,2:30 PM,Ongoing feud resulted in shooting at school stadium,20YOM shot 20YOM outside of the school stadium as a result of an ongoing dispute. Unclear if either were related to the school. Students were in the area at the time of the shooting. Building was locked down.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,,2003,9,10
20030604PAROW,http://www.tiogapublishing.com/news/shooting-reported-at-r-l-butler-middle-school/article_46fbda3f-8acf-5505-bbbb-4d2cd4584326.html http://www.tiogapublishing.com/news/police-conclude-investigation-into-suicide-at-middle-school/article_d4b606b9-3e5a-5ec3-9177-b1e3dde204ba.html,,,2,2003-06-04,Summer,Rock L. Butler Middle School,Wellsboro,PA,Middle,Bathroom,Inside School Building,Yes,School Start,8:17 AM,"Brought duffel bag with 7 weapons, shot self in bathroom","13YOM brought duffel bag with 7 guns (3 rifles, 2 shotguns, 2 handguns), dressed in camo, and hundreds of rounds of ammo to school. Went to school bathroom. Reported he was going to supply three other students with weapons but they backed out at the last second and said they were going to call the police. Police were alerted for a report of a student with weapons in the bathroom. 10 minutes later, the shooter commit suicide when police approached the bathroom.",Indiscriminate Shooting,,Yes,No,No,No,No,No,No,Yes,1,Yes,2003,6,4
20030513PAFOJ,https://newspaperarchive.com/altoona-mirror-may-14-2003-p-11/,,,2,2003-05-13,Spring,Forest Hills High School,Johnstown,PA,High,Parking Lot,Outside on School Property,Yes,Morning Classes,,Commit suicide in parking lot,18YOM student commit suicide in parking lot.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,,2003,5,13
